2023-02-24 16:08:12.675 [info] Log level: Info
2023-02-24 16:08:12.675 [info] Validating found git in: "git"
2023-02-24 16:08:12.675 [info] Using git "2.39.2" from "git"
2023-02-24 16:08:12.675 [info] > git rev-parse --show-toplevel [3ms]
2023-02-24 16:08:12.684 [info] > git rev-parse --show-toplevel [10ms]
2023-02-24 16:08:12.689 [info] > git rev-parse --show-toplevel [1ms]
2023-02-24 16:08:12.693 [info] > git rev-parse --show-toplevel [1ms]
2023-02-24 16:08:12.695 [info] > git rev-parse --show-toplevel [0ms]
2023-02-24 16:08:12.892 [info] > git rev-parse --show-toplevel [1ms]
2023-02-24 16:08:50.610 [info] > git rev-parse --show-toplevel [1ms]
